OBJECTID_1,SiteID,FieldWetla,FieldVeldA,FieldAlien,Latitude,Longitude,PairID,RecordingN,Year,Month,Day,Campaign,AVIRIS,LVIS,WetlandTyp,LandCoverC,ElevationC,FireClass,CLUSTER_ID,COLOR_ID
207,s2lam029_230714,Not available,Not available,Not available,-33.677914,21.8963,402,988,23,7,14,Wet season,Y,N,NA,Grassland,Low: 0-500 m,25+ years,21,1
214,s2lam108_231010,Not available,Not available,Not available,-33.68373,21.908625,399,1013,23,10,10,Dry season,Y,N,NA,Grassland,Medium: 500-1000 m,25+ years,21,1
130,s2lam047_231128,Not near (100 m) any water,Intermediate (6-17 yrs),None,-33.173597,18.137392,445,1189,23,11,28,Dry season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,93,7
176,s2lam160_231117,Not near (100 m) any water,Intermediate (6-17 yrs),None,-33.864918,23.152417,419,565,23,11,17,Dry season,Y,Y,NA,Forest-Woodland,Medium: 500-1000 m,No data or No Fire,2,8
152,s2lam101_231110,Not near (100 m) any water,"Young (burned, < 6 yrs)",Rare to Very Scattered,-34.405165,20.561562,433,723,23,11,10,Dry season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,6-to-12 years,80,6
209,s2lam118_230815,Not available,Not available,Not available,-33.3505,21.9647,401,1137,23,8,15,Wet season,Y,Y,NA,Shrubland-Fynbos,High: >1000 m,17-to-25 years,49,8
165,s2lam046_230705,Not available,Not available,Not available,-32.1438,18.9753,425,1270,23,7,5,Wet season,Y,Y,NA,Shrubland-Fynbos,Medium: 500-1000 m,17-to-25 years,82,6
197,s2lam032_230714,Not available,Not available,Not available,-33.735526,21.936254,407,990,23,7,14,Wet season,Y,Y,NA,Shrubland-Fynbos,Medium: 500-1000 m,1-to-6 years,52,8
215,s2lam095_230710,Not available,Not available,Not available,-34.0727,20.4507,398,1294,23,7,10,Wet season,Y,N,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,98,2
238,s2lam160_230707,Not available,Not available,Not available,-33.58233,23.436,385,1124,23,7,7,Wet season,Y,Y,NA,Shrubland-Fynbos,High: >1000 m,No data or No Fire,16,3
146,s2lam083_230811,Not available,Not available,Not available,-32.2001,19.080454,436,1530,23,8,11,Wet season,Y,Y,NA,Shrubland-Fynbos,Medium: 500-1000 m,6-to-12 years,20,4
217,s2lam022_231106,Not available,Not available,Not available,-33.66902,21.540404,397,1131,23,11,6,Dry season,Y,N,NA,Shrubland-Fynbos,High: >1000 m,1-to-6 years,27,4
210,s2lam144_231005,Not near (100 m) any water,"Young (burned, < 6 yrs)",None,-33.350492,21.964745,401,825,23,10,5,Dry season,Y,Y,NA,Shrubland-Fynbos,High: >1000 m,17-to-25 years,49,8
128,s2lam118_230713,Not available,Not available,Not available,-33.2847,22.0519,447,837,23,7,13,Wet season,Y,N,NA,Grassland,Medium: 500-1000 m,No data or No Fire,86,5
212,s2lam134_231107,In or near (10 m) seep,Intermediate (6-17 yrs),Rare to Very Scattered,-34.327681,18.848152,400,992,23,11,7,Dry season,Y,N,Seep,Shrubland-Fynbos,Low: 0-500 m,1-to-6 years,47,7
243,s2lam010_231115,Not near (100 m) any water,Intermediate (6-17 yrs),Rare to Very Scattered,-34.102161,18.455468,382,605,23,11,15,Dry season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,30,1
225,s2lam003_231127,Not near (100 m) any water,Intermediate (6-17 yrs),None,-33.147425,18.012425,392,1288,23,11,27,Dry season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,42,4
248,s2lam104_230718,Not available,Not available,Not available,-34.0691,22.944951,380,569,23,7,18,Wet season,Y,Y,Estuary,Forest-Woodland,Low: 0-500 m,1-to-6 years,6,5
193,s2lam026_230705,Not available,Not available,Not available,-34.7229,19.76937,410,711,23,7,5,Wet season,Y,N,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,11,5
202,s2lam151_230725,Not available,Not available,Not available,-33.491749,20.484334,405,1000,23,7,25,Wet season,Y,N,NA,Shrubland-Karoo,Medium: 500-1000 m,No data or No Fire,25,6
200,s2lam192_231122,Within 50 m of a river or stream,Old (> 17 yrs),Rare to Very Scattered,-32.394764,19.088557,406,430,23,11,22,Dry season,Y,N,NA,Grassland,Medium: 500-1000 m,12-to-17 years,71,2
174,s2lam173_231124,Within 50 m of a river or stream,"Young (burned, < 6 yrs)",Rare to Very Scattered,-34.089669,18.430236,420,428,23,11,24,Dry season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,30,1
186,s2lam152_230712,Not available,Not available,Not available,-33.978123,20.8151,414,716,23,7,12,Wet season,Y,N,NA,Agriculture,Low: 0-500 m,1-to-6 years,40,4
129,s2lam010_230807,Not available,Not available,Not available,-33.1736,18.1374,445,1144,23,8,7,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,93,7
229,s2lam016_230711,Not available,Not available,Not available,-33.995115,22.6205,390,573,23,7,11,Wet season,Y,Y,Estuary,Forest-Woodland,Low: 0-500 m,No data or No Fire,46,3
195,s2lam049_230815,Not available,Not available,Not available,-33.3468,21.982,408,1137,23,8,15,Wet season,Y,Y,NA,Shrubland-Fynbos,High: >1000 m,1-to-6 years,49,8
139,s2lam029_231019,Not available,Not available,Not available,-33.636328,21.629526,439,1010,23,10,19,Dry season,Y,Y,NA,Shrubland,Low: 0-500 m,No data or No Fire,69,3
228,s2lam123_231010,In or near (25 m) wetland,Intermediate (6-17 yrs),None,-34.617115,19.89519,391,689,23,10,10,Dry season,Y,Y,Wetland Flat,Water,Low: 0-500 m,No data or No Fire,64,6
213,s2lam022_230714,Not available,Not available,Not available,-33.6837,21.9086,399,987,23,7,14,Wet season,Y,N,NA,Grassland,Medium: 500-1000 m,25+ years,21,1
237,s2lam044_230930,Within 50 m of a river or stream,Intermediate (6-17 yrs),None,-33.582328,23.436038,385,1146,23,9,30,Dry season,Y,Y,NA,Shrubland-Fynbos,High: >1000 m,No data or No Fire,16,3
178,s2lam140_230812,Not available,Not available,Not available,-34.798518,19.966673,418,712,23,8,12,Wet season,Y,N,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,34,8
249,s2lam020_231117,Within 50 m of a river or stream,Old (> 17 yrs),Scattered to Medium,-34.711753,20.090303,379,545,23,11,17,Dry season,Y,Y,Estuary,Water,Low: 0-500 m,No data or No Fire,26,8
226,s2lam097_230808,Not available,Not available,Not available,-33.147448,18.0124,392,878,23,8,8,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,42,4
223,s2lam017_230823,Not available,Not available,Not available,-34.353714,18.890773,394,611,23,8,23,Wet season,Y,N,NA,Grassland,Low: 0-500 m,1-to-6 years,66,6
230,s2lam114_231020,Not near (100 m) any water,Old (> 17 yrs),None,-33.99512,22.620577,390,722,23,10,20,Dry season,Y,Y,Estuary,Forest-Woodland,Low: 0-500 m,No data or No Fire,46,3
241,s2lam056_230710,Not available,Not available,Not available,-34.2502,18.412881,383,575,23,7,10,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,9,1
153,s2lam021_230810,Not available,Not available,Not available,-33.959,21.230158,431,882,23,8,10,Wet season,Y,N,NA,Shrubland-Fynbos,Medium: 500-1000 m,1-to-6 years,35,1
147,s2lam103_230726,Not available,Not available,Not available,-33.6422,21.63967,435,983,23,7,26,Wet season,Y,Y,NA,Shrubland,Low: 0-500 m,25+ years,69,3
142,s2lam149_231122,Not near (100 m) any water,"Young (burned, < 6 yrs)",None,-33.62405,22.940039,438,868,23,11,22,Dry season,Y,Y,NA,Grassland,High: >1000 m,1-to-6 years,13,1
135,s2lam057_231011,In or near (25 m) wetland,Not available,None,-34.293432,18.428152,442,171,23,10,11,Dry season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,17,7
183,s2lam002_230807,Not available,Not available,Not available,-33.1192,18.0634,415,1104,23,8,7,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,7,3
244,s2lam089_230717,Not available,Not available,Not available,-34.10214,18.455467,382,1154,23,7,17,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,30,1
168,s2lam121_230727,Not available,Not available,Not available,-33.917342,19.9003,424,998,23,7,27,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,58,2
206,s2lam174_231124,Not near (100 m) any water,Not available,None,-34.08759,18.413293,403,424,23,11,24,Dry season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,30,1
140,s2lam162_230726,Not available,Not available,Not available,-33.6364,21.6295,439,983,23,7,26,Wet season,Y,Y,NA,Shrubland,Low: 0-500 m,No data or No Fire,69,3
204,s2lam112_231025,Not near (100 m) any water,Intermediate (6-17 yrs),None,-33.025866,19.049756,404,698,23,10,25,Dry season,Y,Y,NA,Shrubland-Fynbos,Medium: 500-1000 m,6-to-12 years,95,7
224,s2lam017_231108,Not near (100 m) any water,Intermediate (6-17 yrs),Rare to Very Scattered,-34.353702,18.890794,394,999,23,11,8,Dry season,Y,N,NA,Grassland,Low: 0-500 m,1-to-6 years,66,6
145,s2lam072_231031,Within 50 m of a river or stream,Intermediate (6-17 yrs),None,-32.200103,19.080449,436,687,23,10,31,Dry season,Y,Y,NA,Shrubland-Fynbos,Medium: 500-1000 m,6-to-12 years,20,4
220,s2lam140_230822,Not available,Not available,Not available,-34.4732,20.458351,396,731,23,8,22,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,22,3
132,s2lam086_230710,Not available,Not available,Not available,-34.107227,18.438773,444,578,23,7,10,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,30,1
188,s2lam193_231124,Not near (100 m) any water,Not available,Rare to Very Scattered,-34.089171,18.417448,413,424,23,11,24,Dry season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,30,1
164,s2lam129_231010,Not near (100 m) any water,Old (> 17 yrs),None,-34.809642,19.953747,426,716,23,10,10,Dry season,Y,N,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,34,8
163,s2lam054_230812,Not available,Not available,Not available,-34.8097,19.9537,426,780,23,8,12,Wet season,Y,N,NA,Grassland,Low: 0-500 m,No data or No Fire,34,8
173,s2lam089_230702,Not available,Not available,Not available,-34.089634,18.4301,420,585,23,7,2,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,30,1
196,s2lam155_231005,Not near (100 m) any water,"Young (burned, < 6 yrs)",None,-33.346755,21.982045,408,817,23,10,5,Dry season,Y,Y,NA,Shrubland-Fynbos,High: >1000 m,1-to-6 years,49,8
234,s2lam159_231025,Not near (100 m) any water,Old (> 17 yrs),None,-33.47115,20.61933,388,852,23,10,25,Dry season,Y,Y,NA,Shrubland-Karoo,Medium: 500-1000 m,No data or No Fire,38,7
159,s2lam041_230811,Not available,Not available,Not available,-34.073445,23.226682,428,713,23,8,11,Wet season,Y,Y,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,67,2
126,s2lam104_230811,Not available,Not available,Not available,-34.055338,23.218673,448,715,23,8,11,Wet season,Y,Y,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,67,2
211,s2lam077_230823,Not available,Not available,Not available,-34.3277,18.8481,400,579,23,8,23,Wet season,Y,N,Seep,Shrubland-Fynbos,Low: 0-500 m,1-to-6 years,47,7
