split,actual,predicted,error,baseline_guess
train,29.0,27.321075,-1.6789246,23.526829
train,14.0,18.313711,4.313711,23.526829
train,31.0,23.00438,-7.9956207,23.526829
train,26.0,25.76853,-0.23147011,23.526829
train,15.0,20.515398,5.515398,23.526829
train,9.0,18.620625,9.620625,23.526829
train,28.0,23.58158,-4.418421,23.526829
train,21.0,23.873308,2.8733082,23.526829
train,26.0,23.72913,-2.2708702,23.526829
train,37.0,26.465042,-10.534958,23.526829
train,23.0,17.461094,-5.538906,23.526829
train,25.0,25.43416,0.43416023,23.526829
train,25.0,23.00438,-1.9956207,23.526829
train,22.0,29.522974,7.522974,23.526829
train,17.0,20.4168,3.4167995,23.526829
train,27.0,25.806862,-1.1931381,23.526829
train,14.0,23.00438,9.004379,23.526829
train,18.0,20.438076,2.438076,23.526829
train,24.0,21.85527,-2.1447296,23.526829
train,28.0,28.293453,0.29345322,23.526829
train,22.0,18.585482,-3.4145184,23.526829
train,18.0,17.036901,-0.9630985,23.526829
train,6.0,20.717184,14.717184,23.526829
train,23.0,23.00438,0.0043792725,23.526829
train,25.0,19.839718,-5.160282,23.526829
val,26.0,28.094778,2.094778,23.526829
val,30.0,25.873764,-4.126236,23.526829
val,17.0,24.595762,7.5957623,23.526829
val,24.0,21.06014,-2.9398594,23.526829
val,25.0,25.490011,0.49001122,23.526829
val,34.0,23.79697,-10.20303,23.526829
val,25.0,23.81138,-1.1886196,23.526829
val,27.0,19.348118,-7.651882,23.526829
val,24.0,26.926622,2.9266224,23.526829
val,17.0,26.137562,9.137562,23.526829
val,29.0,27.122253,-1.8777466,23.526829
val,19.0,24.474665,5.4746647,23.526829
val,23.0,23.00438,0.0043792725,23.526829
val,25.0,23.74503,-1.2549706,23.526829
val,28.0,26.470144,-1.5298557,23.526829
val,32.0,27.484081,-4.5159187,23.526829
val,9.0,17.935287,8.935287,23.526829
val,25.0,20.36923,-4.6307697,23.526829
val,23.0,23.00438,0.0043792725,23.526829
val,25.0,22.401943,-2.5980568,23.526829
val,32.0,28.675522,-3.3244781,23.526829
val,24.0,22.102585,-1.8974152,23.526829
val,18.0,23.2497,5.2497005,23.526829
val,25.0,25.503235,0.50323486,23.526829
val,25.0,22.318672,-2.6813278,23.526829
val,27.0,24.425919,-2.5740814,23.526829
val,33.0,23.00438,-9.995621,23.526829
val,27.0,23.00438,-3.9956207,23.526829
val,20.0,21.866432,1.8664322,23.526829
val,22.0,20.105347,-1.8946533,23.526829
val,27.0,25.47484,-1.5251598,23.526829
val,11.0,23.01571,12.015711,23.526829
val,21.0,23.00438,2.0043793,23.526829
val,22.0,24.584484,2.584484,23.526829
val,21.0,23.00438,2.0043793,23.526829
val,31.0,28.289616,-2.7103844,23.526829
val,19.0,21.604528,2.6045284,23.526829
val,30.0,29.012537,-0.987463,23.526829
val,24.0,23.00438,-0.9956207,23.526829
val,32.0,28.14051,-3.8594894,23.526829
val,26.0,24.935284,-1.0647163,23.526829
val,21.0,21.983606,0.98360634,23.526829
val,35.0,25.276934,-9.723066,23.526829
val,29.0,23.840466,-5.1595345,23.526829
val,21.0,21.671457,0.6714573,23.526829
val,31.0,29.287428,-1.7125721,23.526829
